warn message-400.4015922546387-game_logic-30-1456369887.4004016-2016-02-25 11:11:27,400-TEST-LOG-WARNING-warn message-game_logic.py
2016-02-25 15:44:10,118-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:44:10,118-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:44:10,118-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:45:34,014-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:45:34,014-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:45:34,014-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:45:34,014-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:45:34,014-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:45:34,014-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:45:34,014-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:46:04,838-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:46:04,838-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:46:04,838-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:46:04,838-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:46:04,838-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:46:04,838-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:46:04,838-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:46:04,838-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:46:25,954-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:46:25,954-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:46:25,954-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:46:25,954-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:46:25,954-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:46:25,954-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:46:25,954-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:46:25,954-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:46:25,954-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:46:37,519-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:46:37,519-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:46:37,519-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:46:37,519-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:46:37,519-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:46:37,519-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:46:37,519-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:46:37,519-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:46:37,519-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:46:37,519-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 16:01:51,607-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 16:01:58,655-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 16:01:58,655-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 16:02:13,687-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 16:02:13,687-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 16:02:13,687-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 18:39:05,751-TEST_LOG-CRITICAL-critical message-game_logic.py
